단어,원형성,친숙성,쾌-불쾌,활성화
한맺히다*,4.01,4.43,1.6,5.09
한스럽다,3.92,3.61,2.27,4.13
한탄하다,3.78,3.74,2.02,5.06
행복하다*,5.88,6.08,6.16,4.7
향수,4.29,4.54,4.99,2.56
허망하다,3.96,4.31,2.11,2.87
허무하다*,4.4,5.29,2.28,2.92
허전하다,4.51,5.27,2.91,2.53
죄송스럽다,4.44,5.56,2.68,3.89
죄스럽다,3.66,3.71,2.2,3.94
죄의식,3.45,4.42,2.03,4.12
죄책감*,4.08,4.83,2.13,4.07
주눅들다*,4.18,4.6,2.3,2.79
즐겁다*,5.87,6.09,5.89,5.54
즐기다,4.72,5.93,5.57,5.14
증오하다*,4.54,5.18,1.75,5.85
지겹다*,4.76,5.61,2.51,3.2
지긋지긋하다,4.33,5.12,2.1,4.05
지루하다,4.72,5.56,2.64,2.14
지리하다,3.18,3.14,2.91,3.07
진노하다,3.06,3.21,1.97,5.36
진저리나다,3.94,4.41,2.07,4.67
질겁하다,3.45,3.74,2.45,5.41
질리다,4.36,5.03,2.29,3.94
질색하다,3.73,4.34,2.23,5.07
질투하다,4.47,5.38,2.58,5.25
짜증내다,4.73,5.87,2.06,4.88
짝사랑하다,4.29,5.4,4.28,4.41
찡하다,4.9,4.95,4.09,4.67
착잡하다,4.17,4.5,2.83,2.83
참담하다*,4.03,4.25,1.52,3.26
창피하다*,4.76,5.69,2.54,4.2
처량하다,4.25,4.6,2.51,2.81
처연하다,2.89,2.35,2.85,3.06
처절하다,3.97,4.69,1.89,4.35
처참하다,4.34,4.55,1.64,4.5
체념하다,4.08,4.59,2.47,3.15
초조하다*,4.67,5.43,2.74,4.88
충족감,4.26,4.58,5.27,4.15
허탈하다,4.36,4.99,2.67,3.2
허허롭다,2.88,2.69,3.07,3.06
혐오하다,4.35,5.04,1.8,5.57
호감,5.62,5.31,5.72,5.03
혼비백산하다,3.44,3.79,2.32,5.98
홀가분하다*,5.71,5.18,6.24,3.26
화나다*,4.86,5.65,2.17,5.91
환멸,3.49,3.34,1.71,5.62
환희,4.5,4.7,5.72,5.54
황공하다,3.51,3.67,4.25,4.57
황당하다*,4.75,5.53,3.3,4.92
황송하다,3.63,3.58,4.07,4.18
황홀하다*,5.3,5.18,5.72,5.14
회개,3.19,3.7,3.91,3.58
회오,2.35,1.7,3.63,4.1
회한,3.28,3.42,2.49,4.41
후련하다,5.44,5.3,5.33,3.61
후회하다*,4.74,5.82,2.45,4.06
흐뭇하다,5.26,5.46,5.48,3.85
흠모하다,4.13,4.11,4.94,4.34
흡족하다,4.9,4.9,5.77,4.14
흥겹다,5.52,5.09,5.72,5.5
흥나다,4.73,4.54,5.5,6
흥미롭다,5.05,5.82,5.56,4.76
흥미진진하다,5.07,5.61,5.4,5.21
흥분,4.92,5.61,4.44,6.02
흥취,3.4,3.07,4.71,5.08
희,3.65,3.22,5.21,4.61
희비,3.76,4.08,3.8,4.61
희열,4.49,4.42,5.32,5.44
희희낙락하다,4.16,4.17,4.71,4.8
